GetRandomFact || https://catfact.ninja/fact?max_length=60 || method: GET ||  900.4623999595642 milliseconds  || Status 200 || {"fact":"Ailurophile is the word cat lovers are officially called.","length":57}
GenerateMeme || ronreiter-meme-generator.p.rapidapi.com || method: GET ||  357.51579999923706 milliseconds  || Status 200 || {"encoded image"}
GetRandomFact || https://catfact.ninja/fact?max_length=60 || method: GET ||  403.74179999530315 milliseconds  || Status 200 || {"fact":"A domestic cat can run at speeds of 30 mph.","length":43}
GetRandomFact || https://catfact.ninja/fact?max_length=60 || method: GET ||  6.145700000226498 milliseconds  || Status 200 || {"fact":"Cats have supersonic hearing","length":28}
GetRandomFact || https://catfact.ninja/fact?max_length=60 || method: GET ||  31.33839999884367 milliseconds  || Status 200 || {"fact":"A cat will tremble or shiver when it is extreme pain.","length":53}
GetRandomDogImage || https://dog.ceo/api/breeds/image/random || method: GET ||  152.1418999955058 milliseconds  || Status 200 || {"message":"https://images.dog.ceo/breeds/brabancon/n02112706_381.jpg","status":"success"}
GetRandomDogImage || https://dog.ceo/api/breeds/image/random || method: GET ||  164.0257999971509 milliseconds  || Status 200 || {"message":"https://images.dog.ceo/breeds/pyrenees/n02111500_7983.jpg","status":"success"}
GetRandomDogImage || https://dog.ceo/api/breeds/image/random || method: GET ||  201.75239999592304 milliseconds  || Status 200 || {"message":"https://images.dog.ceo/breeds/terrier-kerryblue/n02093859_1635.jpg","status":"success"}
UploadImage || ronreiter-meme-generator.p.rapidapi.com || method: POST ||  383.1541999951005 milliseconds  || Status 200 || {"status": "success", "name": "n02111500-7983"}
UploadImage || ronreiter-meme-generator.p.rapidapi.com || method: POST ||  17.181599996984005 milliseconds  || Status 200 || {"status": "success", "name": "n02093859-1635"}
UploadImage || ronreiter-meme-generator.p.rapidapi.com || method: POST ||  122.16439999639988 milliseconds  || Status 200 || {"status": "success", "name": "n02112706-381"}
GenerateMeme || ronreiter-meme-generator.p.rapidapi.com || method: GET ||  246.58309999853373 milliseconds  || Status 200 || {"encoded image"}
GenerateMeme || ronreiter-meme-generator.p.rapidapi.com || method: GET ||  307.6050999984145 milliseconds  || Status 200 || {"encoded image"}
GenerateMeme || ronreiter-meme-generator.p.rapidapi.com || method: GET ||  452.82379999756813 milliseconds  || Status 200 || {"encoded image"}
GetRandomFact || https://catfact.ninja/fact?max_length=60 || method: GET ||  375.0367000028491 milliseconds  || Status 200 || {"fact":"Milk can give some cats diarrhea.","length":33}
GetRandomFact || https://catfact.ninja/fact?max_length=60 || method: GET ||  18.424899995326996 milliseconds  || Status 200 || {"fact":"Neutering a cat extends its life span by two or three years.","length":60}
GetRandomFact || https://catfact.ninja/fact?max_length=60 || method: GET ||  30.73430000245571 milliseconds  || Status 200 || {"fact":"It is estimated that cats can make over 60 different sounds.","length":60}
GetRandomDogImage || https://dog.ceo/api/breeds/image/random || method: GET ||  124.64360000193119 milliseconds  || Status 200 || {"message":"https://images.dog.ceo/breeds/terrier-wheaten/n02098105_539.jpg","status":"success"}
GetRandomDogImage || https://dog.ceo/api/breeds/image/random || method: GET ||  158.92190000414848 milliseconds  || Status 200 || {"message":"https://images.dog.ceo/breeds/hound-blood/n02088466_7607.jpg","status":"success"}
GetRandomDogImage || https://dog.ceo/api/breeds/image/random || method: GET ||  198.01370000094175 milliseconds  || Status 200 || {"message":"https://images.dog.ceo/breeds/pekinese/n02086079_17103.jpg","status":"success"}
UploadImage || ronreiter-meme-generator.p.rapidapi.com || method: POST ||  259.2311000004411 milliseconds  || Status 200 || {"status": "success", "name": "n02098105-539"}
UploadImage || ronreiter-meme-generator.p.rapidapi.com || method: POST ||  9.53100000321865 milliseconds  || Status 200 || {"status": "success", "name": "n02088466-7607"}
UploadImage || ronreiter-meme-generator.p.rapidapi.com || method: POST ||  64.82090000063181 milliseconds  || Status 200 || {"status": "success", "name": "n02086079-17103"}
GenerateMeme || ronreiter-meme-generator.p.rapidapi.com || method: GET ||  370.6613000035286 milliseconds  || Status 200 || {"encoded image"}
GenerateMeme || ronreiter-meme-generator.p.rapidapi.com || method: GET ||  400.8847000002861 milliseconds  || Status 200 || {"encoded image"}
GenerateMeme || ronreiter-meme-generator.p.rapidapi.com || method: GET ||  428.9923999980092 milliseconds  || Status 200 || {"encoded image"}
GetRandomFact || https://catfact.ninja/fact?max_length=60 || method: GET ||  397.6684999987483 milliseconds  || Status 200 || {"fact":"A cat can spend five or more hours a day grooming himself.","length":58}
GetRandomFact || https://catfact.ninja/fact?max_length=60 || method: GET ||  2.2532999962568283 milliseconds  || Status 200 || {"fact":"Cats control the outer ear using 32 muscles; humans use 6","length":57}
GetRandomFact || https://catfact.ninja/fact?max_length=60 || method: GET ||  37.42350000143051 milliseconds  || Status 200 || {"fact":"It is estimated that cats can make over 60 different sounds.","length":60}
GetRandomDogImage || https://dog.ceo/api/breeds/image/random || method: GET ||  143.55799999833107 milliseconds  || Status 200 || {"message":"https://images.dog.ceo/breeds/husky/n02110185_12656.jpg","status":"success"}
GetRandomDogImage || https://dog.ceo/api/breeds/image/random || method: GET ||  151.09400000423193 milliseconds  || Status 200 || {"message":"https://images.dog.ceo/breeds/spaniel-cocker/n02102318_10795.jpg","status":"success"}
GetRandomDogImage || https://dog.ceo/api/breeds/image/random || method: GET ||  187.09600000083447 milliseconds  || Status 200 || {"message":"https://images.dog.ceo/breeds/pitbull/IMG_20190826_121528_876.jpg","status":"success"}
UploadImage || ronreiter-meme-generator.p.rapidapi.com || method: POST ||  228.3737000003457 milliseconds  || Status 200 || {"status": "success", "name": "n02110185-12656"}
UploadImage || ronreiter-meme-generator.p.rapidapi.com || method: POST ||  186.7255999967456 milliseconds  || Status 200 || {"status": "success", "name": "n02102318-10795"}
UploadImage || ronreiter-meme-generator.p.rapidapi.com || method: POST ||  15.388700000941753 milliseconds  || Status 200 || {"status": "success", "name": "IMG-20190826-121528-876"}
GenerateMeme || ronreiter-meme-generator.p.rapidapi.com || method: GET ||  159.42390000075102 milliseconds  || Status 200 || {"encoded image"}
GenerateMeme || ronreiter-meme-generator.p.rapidapi.com || method: GET ||  447.40230000019073 milliseconds  || Status 200 || {"encoded image"}
GenerateMeme || ronreiter-meme-generator.p.rapidapi.com || method: GET ||  555.791599996388 milliseconds  || Status 200 || {"encoded image"}
